법정동코드번호,EMD_ENG_NM,행정구역,면적,"인구수 데이터가 
존재하는 행정구역",2024.07 기준 총인구수(명),인구밀도
51150350,Okgye-myeon,옥계면,148502454.4,옥계면,3309,22.282
51150340,Gangdong-myeon,강동면,111838721.5,강동면,3865,34.559
51150370,Yeongok-myeon,연곡면,202320923.1,연곡면,6484,32.048
51150360,Sacheon-myeon,사천면,70878466.2,사천면,5402,76.215
51150310,Seongsan-myeon,성산면,80250515,성산면,3433,42.779
51150250,Jumunjin-eup,주문진읍,60238348.58,주문진읍,15567,258.423
51150330,Gujeong-myeon,구정면,42781146.63,구정면,4152,97.052
51150320,Wangsan-myeon,왕산면,245666902.4,왕산면,1513,6.159
51150137,Jeo-dong,저동,2381363.917,0,0,0
51150136,Nangok-dong,난곡동,1712646.197,0,0,0
51150139,Unsan-dong,운산동,3806218.166,0,0,0
51150138,Anhyeon-dong,안현동,4236752.754,0,0,0
51150133,Jukheon-dong,죽헌동,3005190.074,0,0,0
51150132,Jibyeon-dong,지변동,1965085.779,0,0,0
51150135,Unjeong-dong,운정동,2019296.54,0,0,0
51150134,Daejeon-dong,대전동,4723582.998,0,0,0
51150129,Byeongsan-dong,병산동,2845121.81,0,0,0
51150128,Hak-dong,학동,1458657.998,0,0,0
51150131,Yucheon-dong,유천동,3047240.761,0,0,0
51150130,Namhangjin-dong,남항진동,1325813.76,0,0,0
51150125,Ibam-dong,입암동,3054566.734,0,0,0
51150124,Sinseok-dong,신석동,613378.621,0,0,0
51150127,Dusan-dong,두산동,1103433.148,0,0,0
51150126,Cheongnyang-dong,청량동,1620192.377,0,0,0
51150121,Noam-dong,노암동,2538238.074,0,0,0
51150120,Damsan-dong,담산동,1420240.451,0,0,0
51150123,Wolhopyeong-dong,월호평동,1779684.968,0,0,0
51150122,Yusan-dong,유산동,2247111.92,0,0,0
51150117,Hoesan-dong,회산동,1981002.77,0,0,0
51150116,Naegok-dong,내곡동,2975956.402,내곡동,18517,6222.201
51150119,Bagwol-dong,박월동,2085237.399,0,0,0
51150118,Janghyeon-dong,장현동,1551484.946,0,0,0
51150113,Gangmun-dong,강문동,1207997.367,0,0,0
51150112,Chodang-dong,초당동,1676085.625,초당동,4396,2622.778
51150115,Gyeonso-dong,견소동,702846.285,0,0,0
51150114,Songjeong-dong,송정동,2739738.679,송정동,9529,3478.069
51150109,Okcheon-dong,옥천동,578203.862,옥천동,3135,5421.963
51150108,Seongnam-dong,성남동,305994.626,0,0,0
51150111,Ponam-dong,포남동,3854107.343,0,0,0
51150110,Gyo-dong,교동,5315356.958,0,0,0
51150105,Imdang-dong,임당동,226618.846,0,0,0
51150104,Seongnae-dong,성내동,34070.917,0,0,0
51150107,Yonggang-dong,용강동,110613.358,0,0,0
51150106,Geumhak-dong,금학동,64753.896,0,0,0
51150101,Hongje-dong,홍제동,3739921.174,홍제동,14588,3900.617
51150103,Myeongju-dong,명주동,57183.881,0,0,0
51150102,Nammun-dong,남문동,184816.177,0,0,0
