설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리),구정(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217383,128.8520668"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리),구정(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217383,128.8520668"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리),구정(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217383,128.8520668"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),구정(삼척) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217564,128.8520681"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),구정(삼척) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217564,128.8520681"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),구정(삼척) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7217564,128.8520681"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리),옥계(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.6151752,129.0609174"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리),옥계(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.6151752,129.0609174"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리),옥계(속초) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.6151752,129.0609174"
2017,강원특별자치도,강릉시,강원특별자치도 강릉시 성산면 영동고속도로 231 (보광리),강릉(강릉) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.7578016,128.8070147"
