충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
구정(속초) 휴게소,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리) ,휴게시설,고속도로 휴게소,ME178080,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:06,2023-10-29 18:27,2023-10-29 18:35,,99,1825.31,70,1157.46,87,1563.69,67,1083.05,130,2347.33,131,2400.74,120,2009.25,26,481.44,67,1230.95
구정(속초) 휴게소,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리) ,휴게시설,고속도로 휴게소,ME178080,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:02,2023-10-30 8:04,2023-10-30 8:38,,153,2904.82,115,2090.16,96,1632.83,109,1988.49,109,2006.08,101,1749.79,34,651.01,39,563.56,120,2033.82
구정(속초) 휴게소,강원특별자치도 강릉시 구정면 회산로 88-35 (제비리) ,휴게시설,고속도로 휴게소,ME178080,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:06,2023-10-29 18:10,2023-10-29 18:11,,67,1174.92,37,612.84,46,831.04,56,1058.61,26,455.96,6,132.58,0,0,26,504.53,73,1271.92
구정(삼척) 휴게소,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리) ,휴게시설,고속도로 휴게소,ME178081,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:02,2023-10-30 13:59,2023-10-30 14:26,,93,1779.12,60,1063.75,69,1170.48,48,794.75,67,1156.95,42,737.19,50,776.51,59,965.84,35,562.71
구정(삼척) 휴게소,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리) ,휴게시설,고속도로 휴게소,ME178081,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:06,2023-10-19 2:30,2023-10-19 3:13,,51,783.1,26,468.22,35,560.44,30,411.59,54,915.08,45,799.48,50,807.63,39,669.04,46,687.63
구정(삼척) 휴게소,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리) ,휴게시설,고속도로 휴게소,ME178081,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,통신이상,2023-10-29 23:01,2023-10-29 20:59,2023-10-29 21:42,,32,490.52,23,302.66,35,537.29,9,41.08,6,41.4,13,67.14,18,125.34,10,82.09,0,0
옥계(속초) 휴게소,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리) ,휴게시설,고속도로 휴게소,ME178083,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:05,2023-10-30 13:14,2023-10-30 13:44,,207,2378.96,141,1531.99,189,2207.41,188,2097.45,142,1631.54,112,1405.94,167,1930.32,137,913.05,173,2024.37
옥계(속초) 휴게소,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리) ,휴게시설,고속도로 휴게소,ME178083,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2023-10-30 15:04,2023-10-30 13:07,2023-10-30 13:48,2023-10-30 15:04,142,2646.98,115,1819.4,63,1079.17,110,1979.89,151,2383.01,171,2293.48,166,1933.65,114,998.2,126,1603.63
옥계(속초) 휴게소,강원특별자치도 강릉시 옥계면 동해고속도로 320 (주수리) ,휴게시설,고속도로 휴게소,ME178083,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2023-10-30 15:05,2023-10-30 12:48,2023-10-30 13:31,2023-10-30 14:30,201,3691.28,188,3794.79,214,3913.03,185,3613.1,165,3186.51,218,4385.67,237,4414.39,282,5548.35,172,3095.72
강릉(강릉) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 231 (보광리) ,휴게시설,고속도로 휴게소,ME178114,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:02,2023-10-29 14:42,2023-10-29 15:23,,243,4356.62,264,4633.13,296,5482.88,279,5008.46,225,4192.79,201,3626,132,2326.31,101,1626.77,79,1123.46
강릉(강릉) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 231 (보광리) ,휴게시설,고속도로 휴게소,ME178114,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:03,2023-10-29 17:22,2023-10-29 18:02,,38,657.84,37,666.73,50,848.73,77,1270.54,52,854.62,35,636.94,109,1837.74,64,1053.34,67,1051.26
강릉(강릉) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 231 (보광리) ,휴게시설,고속도로 휴게소,ME178114,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:01,2023-10-29 20:28,2023-10-29 21:08,,289,5406.17,222,3851.4,216,3851.67,160,2994.44,244,4743.03,228,4214.8,147,2554.84,196,3362.93,89,1264.65
강릉(인천) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 232 (보광리) ,휴게시설,고속도로 휴게소,ME178115,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:04,2023-10-29 15:35,2023-10-29 16:10,,123,2440.53,125,2518.05,67,1387.46,54,1113.69,168,3309.14,82,1662.53,92,1731.32,121,2185.59,65,1138.37
강릉(인천) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 232 (보광리) ,휴게시설,고속도로 휴게소,ME178115,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:02,2023-10-30 13:20,2023-10-30 14:03,,290,5617.97,204,3906.93,209,3989.45,121,2156.04,291,5489.96,251,4643.04,186,3599.16,278,5203.54,120,2264.88
강릉(인천) 휴게소,강원특별자치도 강릉시 성산면 영동고속도로 232 (보광리) ,휴게시설,고속도로 휴게소,ME178115,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:05,2023-10-29 14:34,2023-10-29 15:05,,162,3390.66,204,4247.47,201,3939.32,43,746.22,109,2254.29,242,4708,180,3372.31,210,3895.8,136,2069.14
하나로마트 강릉농협 강동점,강원특별자치도 강릉시 강동면 와천로 463 ,상업시설,마트(쇼핑몰),ME183198,1,DC차데모+AC3상+DC콤보,급속(100kW동시),단독,사용가능,2023-10-30 15:04,2023-10-27 15:15,2023-10-27 15:27,,61,1070.22,47,750.99,41,617.78,50,960.28,13,236.09,0,0,0,0,26,444.24,22,391.8
