연번,우선순위,시설유형,시설명,도로명주소,지번주소,관리주체,위도,경도,데이터일자
1,1,교통시설,7번국도 저탄장 주차장,강원도 강릉시 율곡로,강원도 강릉시 강동면 정동진리 440-29,공공,37.696245,129.025615,2022-11-30
2,1,관광지,강릉항,강원도 강릉시 창해로14번길 51-4,강원도 강릉시 견소동 286-4,공공,37.770947,128.951561,2022-11-30
3,1,교통시설,주문진 해안 주차타워,강원도 강릉시 주문진읍 해안로 1748,강원도 강릉시 주문진읍 해안로 1748,공공,37.891268,128.828763,2022-11-30
4,1,공공시설,강릉원주대학교,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123,공공,37.769219,128.868545,2022-11-30
5,1,교통시설,동덕 주차장,강원도 강릉시 연곡면 해안로 1282-2,강원도 강릉시 연곡면 동덕리143-3,공공,37.858253,128.853042,2022-11-30
6,1,교통시설,남대천둔치 공영주차장강릉교아래시립의료원앞,N/A,강원도 강릉시 남문동 67,공공,37.748756,128.890411,2022-11-30
7,1,상업시설,실비생선구이본점큰집,강원도 강릉시 해안로 1723-0,강원도 강릉시 주문진읍 교항리 167-10,공공,37.888875,128.828156,2022-11-30
8,1,교통시설,서부지구대 옆 공영주차장,강원도 강릉시 하슬라로 223(교동),강원도 강릉시 교동 1814-6,공공,37.769618,128.875439,2022-11-30
9,2,공공시설,녹색도시체험센터(이젠),강원도 강릉시 난설헌로,강원도 강릉시 초당동 505,공공,37.789709,128.907795,2022-11-30
10,2,교통시설,강릉관광개발공사 옆 주차장,N/A,강원도 강릉시 홍제동 262-1,공공,37.753551,128.879471,2022-11-30
11,2,교통시설,노가니길 공영주차장,강원도 강릉시 노가니길,강원도 강릉시 노암동 306,공공,37.747252,128.902159,2022-11-30
12,2,교통시설,중앙시장 제2공영주차장,강원도 강릉시 금성로 9 (성남동),강원도 강릉시 금성로 9,공공,37.754499,128.899399,2022-11-30
13,2,관광지,강남축구공원,강원도 강릉시 남부로 222-0,강원도 강릉시 노암동 142-5,공공,37.743779,128.907348,2022-11-30
14,2,상업시설,공단유업사,강원도 강릉시 성덕포남로104번길 32-1 (입암동),강원도 강릉시 입암동 60-16,공공,37.763575,128.918916,2022-11-30
15,2,교통시설,김윤기 가옥 근처 주차장1,강원도 강릉시 시영길,강원도 강릉시 노암동 302-4,공공,37.747427,128.902774,2022-11-30
16,2,관광지,월화거리,강원도 강릉시 경강로 2111-0,강원도 강릉시 임당동 106-1,공공,37.756082,128.897341,2022-11-30
17,2,교통시설,김윤기 가옥 근처 주차장2,강원도 강릉시 노가니길,강원도 강릉시 노암동 402-37,공공,37.746928,128.903188,2022-11-30
18,2,교통시설,6주공오거리 근처 주차장2,강원도 강릉시 성덕포남로,강원도 강릉시 입암동 85-3,공공,37.761683,128.917678,2022-11-30
19,2,상업시설,고단주유소,강원도 강릉시 왕산면 백두대간로 124,강원도 강릉시 왕산면 고단리 9,민간,37.525788,128.848439,2022-11-30
20,2,교통시설,성덕동 주민센터 주차장,강원도 강릉시 성덕포남로 115,강원도 강릉시 입암동 598,공공,37.763377,128.914158,2022-11-30
21,2,교통시설,구 터미널주차장,강원도 강릉시 강릉대로 257,강원도 강릉시 교동 156-35,공공,37.760797,128.897081,2022-11-30
22,2,교통시설,강릉역 공영주차장,강원도 강릉시 명륜로 59-4 (교동),강원도 강릉시 교동 118-2,공공,37.761945,128.896572,2022-11-30
23,2,공공시설,하나로마트 강릉원예농협 초당지점,강원도 강릉시 산양큰길,강원도 강릉시 포남동 1208,공공,37.779806,128.916075,2022-11-30
24,2,교통시설,임당사거리 근처 주차장,강원도 강릉시 강릉대로 257 (교동),강원도 강릉시 교동 156-93,공공,37.761088,128.897799,2022-11-30
25,2,공공시설,신용보증기금 강릉지점,강원도 강릉시 강릉대로 428,강원도 강릉시 포남동 1288-1,공공,37.771671,128.911321,2022-11-30
26,2,교통시설,구 도로관리사업소 / 강릉홍제공영주차장,강원도 강릉시 경강로 1953번길,강원도 강릉시 홍제동 101,공공,37.748369,128.883052,2022-11-30
27,2,교통시설,옥천동주차장(구여성회관),강원도 강릉시 동부시장3길 23 (옥천동),강원도 강릉시 옥천동 224,공공,37.759699,128.901551,2022-11-30
28,2,교통시설,노암동 강릉교육문화관 근처 무료주차장,강원도 강릉시 노암길,강원도 강릉시 노암동 344-11,공공,37.746626,128.899099,2022-11-30
29,2,교통시설,kbs부지 부차장 / 유천임시주차장,강원도 강릉시 선수촌로,강원도 강릉시 유천동 754,공공,37.763558,128.871236,2022-11-30
30,2,교통시설,동사무소 건너편,강원도 강릉시 경강로 1948 (홍제동),강원도 강릉시 홍제동 97-4,공공,37.747639,128.883146,2022-11-30
31,2,교통시설,신리천 둔치 주차장,강원도 강릉시 신리천로,강원도 강릉시 주문진읍 교항리 1252-14,공공,37.884912,128.827931,2022-11-30
